No.,Word,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Frequency
2899,虛偽,3.1,0.917,4.2,1.568,24
2900,賭注,4.8,0.4,2.7,0.98,0
2901,引咎,4.4,0.49,3.9,1.2,0
2902,逼使,3.5,1.265,6,0.949,11
2903,行騙,3.3,0.748,5.1,0.8,0
2904,饑荒,2.9,0.49,4.5,1.414,15
2905,譭謗,3,0.548,6,1.095,0
2906,壓倒,4.3,0.4,5.8,1.568,12
2907,盜竊,3,0.548,5.5,0.894,0
2908,埋葬,4,0.632,3.5,0.632,25
2909,難看,3.4,0.8,3.6,1.463,45
2910,徒然,4.4,0.374,3.6,0.86,24
2911,掠奪,2.7,0.6,6.5,0.775,20
2912,誘騙,3.1,0.663,5.4,1.2,0
2913,強盜罪,2.7,0.872,5.6,1.855,0
2914,不甘示弱,5.3,0.748,6.3,1.4,32
2915,輕率,4.1,0.2,3.7,0.872,9
2916,橫渡,5,0,3,1.265,0
2917,隱密,5,0,1.9,0.663,20
2918,不知去向,4.3,0.4,2.7,0.98,0
2919,丟掉,4.4,0.374,3.2,0.678,38
2920,雜物,4.6,0.49,2,0.548,13
2921,惡習,3.6,0.49,4.1,1.114,34
2922,新手,4.8,0.4,2.2,0.748,17
2923,不智,3.7,1.077,3.9,1.428,0
2924,著火,3.3,0.748,6.4,2.083,8
2925,破洞,4,0.548,3.3,1.077,11
2926,急切,4.9,0.2,6.5,0.894,46
2927,沉默,4.9,0.2,1.6,0.49,50
2928,混沌,4,0.632,3.9,1.685,17
2929,劣質,3.4,0.8,4,1.414,0
2930,不好意思,4.5,0.447,3.6,0.86,71
2931,一蹶不振,2.8,1.166,4.1,2.2,0
2932,遊蕩,4.3,0.4,2.9,0.49,14
2933,寄生蟲,3.4,0.8,3.9,1.685,19
2934,造假,3.4,0.49,4.7,0.98,8
2935,擊潰,4.9,1.625,5.5,1.844,0
2936,避重就輕,3.9,0.8,4.3,1.47,0
2937,失序,3.8,0.4,4.5,1.095,0
2938,荒廢,3.6,0.8,3.6,0.49,21
2939,勞累,3.9,0.49,3.1,1.02,23
2940,電擊,4.4,0.374,5.1,1.562,0
2941,挑撥,3.6,0.8,5.1,0.49,8
2942,下獄,3,0.632,5.2,1.6,0
2943,遭殃,3.5,0.447,5.3,1.077,8
2944,反常,4.2,0.245,3.5,0.775,16
2945,姦淫,2.8,0.4,6.1,1.02,0
2946,自認為,4.3,0.748,4.5,1.265,17
2947,狂風,4.8,0.4,5.3,2.358,27
2948,鮮豔,5.5,0.632,3.5,0.894,24
2949,清秀,5.8,0.748,2.7,0.872,27
2950,戀戀,5.7,0.748,4.2,2.04,0
2951,敬禮,5.6,0.49,2.6,0.8,10
2952,責任心,6.7,1.077,3.3,0.872,8
2953,柔和,5.5,0.447,1.8,0.51,38
2954,樸素,5.3,0.4,1.6,0.374,27
2955,安祥,5.7,0.6,1.6,0.8,0
2956,魔力,5,0,3.7,1.327,18
2957,不屈不撓,7.1,1.114,6.1,1.428,9
2958,奮起,6.4,0.583,5.8,0.98,12
2959,率直,6,0.632,3.6,0.735,17
2960,歡騰,6.7,0.748,5.9,1.114,0
2961,節儉,6,0.632,2.3,0.4,16
2962,寓意,5.2,0.4,2.1,0.49,15
2963,快快樂樂,7.1,0.49,5.5,1.095,24
2964,合意,5.7,0.6,3.6,1.356,10
2965,接濟,4.9,0.8,3.1,1.02,0
2966,苦思,4.5,0.632,3.4,0.86,9
2967,間歇,5.2,0.4,2.8,1.72,0
2968,柔情,5.9,0.663,2.4,0.49,13
2969,穩重,6.1,0.8,2.5,0.447,17
2970,熱戀,6.5,0.447,6,1.304,8
2971,愛國心,6.5,0.775,4.7,1.6,0
2972,可敬,6.4,1.02,4.7,1.166,18
2973,攙扶,5.7,0.4,2.5,0.447,0
2974,英雄式,6.5,0.894,5.5,2.098,8
2975,光澤,5.2,0.4,2.3,0.872,24
2976,滿載而歸,6.9,1.2,5.6,1.985,13
2977,喝彩,6.7,1.077,6.2,1.208,0
2978,奮不顧身,6.3,0.98,6.6,1.855,0
2979,取悅,5.6,0.8,4.2,1.72,24
2980,井然有序,6.2,0.51,3.5,1.183,13
2981,多才多藝,6.3,0.872,3.8,1.166,14
2982,好學,6.2,0.748,3.7,0.872,28
2983,安詳,5.5,0.447,2.5,0.447,33
2984,追根究底,5.6,0.8,5,1.703,13
2985,善舉,6.2,0.51,3.2,0.748,0
2986,鍾情,5.9,1.2,4.1,1.497,13
2987,志氣,6.6,1.02,4.8,1.631,23
2988,直截了當,5.5,0.447,5.2,1.166,0
2989,中肯,6,0.894,4.6,1.319,11
2990,盡如人意,6.6,0.8,4.9,1.2,0
2991,出眾,6.8,1.208,4.8,1.503,17
2992,肥沃,6.1,0.663,3.7,0.872,23
2993,好客,5.7,0.4,4.6,1.356,17
2994,德高望重,7.2,0.927,5.2,1.47,0
2995,富於,6.1,0.49,4.5,1.483,24
2996,幹勁,6,0.548,6.1,1.685,23
2997,清高,5.9,0.8,2.8,0.98,11
2998,全神貫注,6.3,0.6,4.6,1.855,12
2999,涼快,5.8,0.4,3.6,1.02,23
3000,富麗堂皇,6.1,0.663,4.2,2.135,15
3001,鍛煉,5.6,0.49,4.4,1.744,0
3002,哲人,5.7,0.748,2.6,1.02,10
3003,富饒,6.5,0.632,3.5,0.894,0
3004,無庸,5.3,0.4,2.4,0.49,0
3005,相宜,5.4,0.49,2.7,0.872,8
3006,談笑風生,5.6,0.374,3.7,1.778,0
3007,快活,6.4,0.49,5.2,1.327,48
3008,溫文,5.7,0.6,2.1,0.8,0
3009,羨煞,5.8,0.748,5.2,2.04,0
3010,心安理得,5.8,0.51,2.8,1.72,0
3011,嘟嘟,5,0,2.4,0.8,23
3012,大喜,7.4,0.49,7,0.894,14
3013,甘美,6.5,0.775,3.9,1.281,9
3014,暖意,6,0.316,3.2,1.03,0
3015,互敬,5.8,0.748,3.3,0.4,0
3016,樂不可支,7.4,0.8,7.2,1.327,0
3017,恆久,6.1,1.497,2.9,1.02,9
3018,脫俗,6,0.632,2.9,1.114,15
3019,伊甸園,6.3,1.4,4.6,1.594,0
3020,甘甜,5.9,0.2,3.5,1,0
3021,溺愛,4.2,0.245,3.6,0.735,9
3022,才氣,5.9,0.49,3.3,0.4,30
3023,一見鍾情,6.4,0.97,6.2,0.748,10
3024,締造者,5.6,1.2,2.9,1.356,0
3025,慈悲為懷,6.2,0.51,2.7,0.98,0
3026,合群,5.6,0.49,3.2,0.4,0
3027,大無畏,6.1,0.8,5,0.949,0
3028,含笑,5.6,0.374,3.9,0.49,14
3029,聖徒,5.6,0.8,2.2,0.748,0
3030,繁盛,6.5,0.632,4.4,0.8,0
3031,樂事,6.3,0.4,4.8,1.364,9
3032,聰慧,6.7,0.872,3.1,1.2,0
3033,安適,5.6,0.49,2.7,0.872,9
3034,賢明,6.7,0.872,2.9,1.356,10
3035,心曠神怡,6.5,0.632,3.8,1.913,9
3036,真確,5.3,0.4,2.5,0.447,0
3037,洋房,5,0,1.4,0.49,10
3038,誇獎,6.3,0.6,5.2,1.03,22
3039,堂皇,6.2,0.748,3.4,1.2,12
3040,明理,6.2,0.748,3.1,1.02,12
3041,償清,5.5,0.447,3.2,0.927,0
3042,順眼,5.8,0.4,2.7,0.4,23
3043,和藹可親,6.2,0.748,3.2,1.166,15
3044,奪取,2.4,0.583,7.5,1,13
3045,困窘,3.2,1.166,5,1.789,12
3046,紊亂,3.7,0.872,4.8,1.47,34
3047,打死,1.8,0.748,8.2,0.748,61
3048,驅散,3.8,0.678,5.2,0.748,0
3049,碎片,3.9,0.97,4.2,1.72,20
3050,廢墟,3.5,1.414,4.1,2.245,21
3051,短少,3.6,0.49,3.4,0.49,8
3052,橫行,3.5,0.632,5.5,1,40
3053,粗糙,3.8,0.812,3.3,0.4,50
3054,險境,2.8,0.812,5,1.414,8
3055,圍困,3.4,0.8,5.8,0.748,0
3056,威嚇,2.7,0.872,7.5,1,9
3057,大意,4.1,0.2,5.2,2.482,13
3058,沒辦法,4.2,0.678,4.4,1.744,140
3059,遲滯,3.5,0.632,4.2,1.47,0
3060,擊退,5.5,1.265,6.9,0.663,0
3061,謠傳,4.3,1.327,5.2,1.288,0
3062,爆破,4.2,1.47,7.1,1.114,9
3063,粉碎,3.9,1.744,6.5,1,23
3064,暴風雨,3.7,0.98,7.3,1.077,10
3065,大亂,3.2,0.748,7.6,0.49,21
3066,退縮,3.6,0.49,4.3,1.077,25
3067,負數,4.7,0.4,2.8,1.327,0
3068,出沒,4.8,0.4,3.1,1.02,27
3069,過節,3.7,0.4,5,1.14,30
3070,憤慨,2.8,1.166,7,0.548,19
3071,誘惑,4.3,0.748,5.8,1.122,62
3072,刁難,3,0.837,6.8,0.927,20
3073,腐蝕,3.5,0.894,4,1.265,28
3074,疑雲,4.2,0.4,3.7,1.4,8
3075,悶熱,4.2,0.4,3.2,1.03,18
3076,對不起,2.9,1.2,5.2,2.04,177
3077,背離,3,1.049,4,1.265,17
3078,爭辯,3.3,0.98,6.9,0.663,33
3079,失常,3.2,0.4,6.1,0.917,19
3080,解雇,2.4,1.02,6.6,1.02,12
3081,微弱,3.8,0.927,4,2.28,61
3082,搜捕,4.2,0.748,6.3,0.6,0
3083,三八,3.9,0.49,5.9,1.02,12
3084,陰雨,4.1,0.374,2.4,1.02,8
3085,老是,4.7,0.4,3.8,1.86,119
3086,不大,4.9,0.2,3.4,1.02,98
3087,火爆,3.1,0.663,7.9,0.917,13
3088,兩難,3.6,0.374,5,1.095,12
3089,滅絕,2.2,0.748,6.6,1.241,22
3090,分隔,4.3,0.748,4.2,1.691,28
3091,憂心忡忡,3.4,0.49,6,1.095,31
3092,唯恐,3.6,0.374,5.4,0.583,27
3093,隔絕,3.7,1.077,4.6,1.02,34
3094,一面倒,3,1.095,5.8,1.568,0
3095,撞死,1.7,0.6,7.8,0.748,8
3096,苦心,3.8,1.03,4.8,1.03,18
3097,竊聽,3.7,0.748,5.3,0.748,0
3098,困惑,4.2,0.4,4.8,1.166,43
3099,潛藏,4,0.837,4.5,1.414,27
3100,分贓,2.4,0.49,4.8,1.208,0
3101,未知數,4.6,0.49,3.1,1.744,12
3102,偷偷,3.8,0.4,4.1,1.356,109
3103,刻板,4.3,0.4,3.3,1.077,53
3104,捏造,3.7,0.678,5.8,0.678,10
3105,囂張,3.3,0.4,6.9,0.917,16
3106,束手無策,3.7,1.077,5.7,1.327,28
3107,躲藏,4,0.837,3.8,1.327,0
3108,散落,4,0.894,3.3,1.47,31
3109,烈酒,4.2,0.748,4.4,1.625,53
3110,何必,4.4,0.735,4.3,1.077,118
3111,咬傷,3.7,0.98,5.6,1.356,0
3112,堪慮,3.7,0.4,5.7,0.872,13
3113,告誡,4.3,0.4,5.7,1.077,23
3114,欺負,3.3,0.4,6.5,0.775,70
3115,推諉,3.7,1.166,5.4,1.02,0
3116,惡作劇,3.5,0.447,6.3,1.166,10
3117,俘虜,3.4,0.374,3.8,1.166,10
3118,複雜化,4,0.632,5,1.14,0
3119,想不到,4.2,0.748,5.2,0.812,76
3120,造謠,3.4,1.2,5.9,0.49,8
3121,潛伏,4,1.14,3.8,1.166,23
3122,惡質,2.7,0.6,6.2,0.4,12
3123,一意孤行,3.4,0.8,5.9,0.8,0
3124,霸佔,3.1,1.114,6.7,0.748,8
3125,乏人問津,3.6,1.02,4.7,1.661,13
3126,辜負,3.6,0.49,5.1,1.908,18
3127,退場,4.1,0.663,4.4,1.497,0
3128,塞人,4.1,0.663,4.8,2.135,0
3129,偏頗,3.7,1.166,5.5,0.894,23
3130,怨言,3.4,0.374,5.9,0.49,35
3131,計較,3.8,0.4,6.1,0.663,75
3132,無名,4.6,0.374,4.4,1.02,12
3133,爆炸物,4,1.095,7.1,0.663,0
3134,暴發,3.9,1.114,7.7,0.4,0
3135,置之不理,3.5,0.775,5.8,0.748,8
3136,姑息,3.8,0.4,5.7,0.872,0
3137,玩弄,3.4,0.49,6.4,0.583,26
3138,偽裝,4.1,0.49,5.3,1.249,28
3139,沈沒,3.3,0.872,4.7,1.327,0
3140,凝重,3.4,0.8,5.3,2.135,16
3141,責怪,3.5,0.447,6.6,0.8,41
3142,用盡,4,0.894,5.5,1.414,32
3143,伏擊,3.9,1.114,6.9,0.663,0
3144,逆境,3.3,1.327,4.6,0.49,15
3145,不義,3.5,0.447,5.3,1.4,18
3146,作假,3.4,0.49,5.3,0.872,0
3147,敬陪末座,3.5,0.894,4.9,0.2,8
3148,走失,3.2,0.748,6,0,13
3149,救命,3.4,1.625,8.1,0.917,34
3150,不值,3.6,0.735,6.2,1.122,19
3151,恥辱,3.2,0.748,6.7,0.872,14
3152,論戰,3.6,1.2,6.5,1,15
3153,不歡而散,3.1,0.2,5.9,1.2,10
3154,低下,3.8,0.98,4,1.414,15
3155,痙攣,4.3,1.166,4.7,0.98,13
3156,無依,3.6,0.97,3.2,0.4,11
3157,強加,4.3,0.98,6.1,0.8,0
3158,突如其來,4.8,0.748,5.5,1.265,14
3159,低姿態,4.4,0.49,4.1,0.663,0
3160,誹謗罪,3.3,0.748,5.9,0.663,0
3161,頭暈,3.8,0.4,4.6,1.02,9
3162,拘留所,4,0.632,4.4,1.2,8
3163,被俘,3.1,0.663,5.4,0.8,9
3164,改頭換面,6.2,0.4,5.9,0.8,11
3165,情願,6.2,0.748,5.2,1.166,21
3166,有效性,5.8,1.208,5.3,1.72,0
3167,留情,5.7,0.4,4.3,0.748,13
3168,互助合作,7.1,0.49,5.1,1.114,0
3169,刻苦,6.4,0.97,5.8,1.166,17
3170,順從,6,1.14,5.2,0.748,21
3171,當心,5.1,1.114,5.5,1,11
3172,群情激憤,3,0.632,8.2,0.748,9
3173,懺悔,4.3,1.077,6.3,1.661,16
3174,第一流,8.4,0.8,7.2,1.166,13
3175,吃苦,4.2,1.166,5.8,1.47,30
3176,至高,7,1.049,6.6,1.2,0
3177,抒情,5.9,0.2,3.3,0.4,28
3178,誘人,6,0.632,6.1,1.744,31
3179,清澈,6.3,1.077,4.6,1.356,51
3180,有禮,6.9,0.663,5.4,0.49,14
3181,知覺,5.6,1.2,4.6,1.2,34
3182,衝勁,6.8,0.98,7,0.837,14
3183,窩心,7,0.707,5.4,0.8,9
3184,戒除,6.3,0.6,5.9,1.114,0
3185,聖人,7.4,1.2,4.5,1.342,36
3186,學好,6.2,0.98,4,1.265,31
3187,甘願,5.9,0.2,4.4,1.02,18
3188,雄偉,6.2,0.4,5.9,0.49,41
3189,韻味,6.5,0.894,4.3,0.872,29
3190,雅量,7.2,0.748,4.3,1.077,12
3191,誠心誠意,7.3,0.6,5.2,0.98,0
3192,談笑,6.9,1.02,5.4,1.594,17
3193,芬芳,6.6,0.97,3.8,1.47,27
3194,滋養,6.7,1.4,4.4,1.744,12
3195,道謝,7,0.894,5.6,1.625,28
3196,耐勞,6.3,0.4,5.6,1.356,14
3197,施捨,4.9,0.8,4.9,0.8,15
3198,安眠,5,0.548,2.7,0.872,0
3199,悅耳,6.6,0.8,4.9,0.917,27
3200,安身立命,6.4,0.97,4.1,0.8,15
3201,酬謝,6.5,0.775,5.9,0.2,0
3202,光滑,5.6,0.8,3.7,0.872,21
3203,勇猛,7,0.837,6.7,0.4,9
3204,安身,5.9,1.114,3.9,0.663,13
3205,器重,6.8,0.748,6.4,0.49,0
3206,痛快,6.4,1.068,7.3,0.6,40
3207,一笑置之,6.4,1.855,4.7,1.077,0
3208,賞心悅目,6.8,0.4,5.6,1.356,17
3209,情深,6.7,0.748,6.7,1.4,0
3210,意氣風發,6.9,0.917,7.1,1.356,8
3211,引以為榮,7.2,0.748,6.6,1.319,0
3212,無懈可擊,7.9,0.663,7.2,1.47,0
3213,氣派,6.7,0.748,6.4,0.97,8
3214,幽默感,7,0.894,5.7,1.536,16
3215,學以致用,6.9,0.663,5,1.265,0
3216,詩意,6.2,0.51,3.5,0.894,18
3217,舒暢,7.3,1.077,5.9,1.114,27
3218,會心,6.2,0.678,4.8,0.4,0
3219,心甘情願,6.7,0.872,4.9,0.663,22
3220,香甜,6.7,1.077,4.2,0.98,10
3221,莊重,6.6,0.49,4.7,0.748,15
3222,照耀,5.8,0.678,4.9,0.8,13
3223,精確度,6,1.265,4.1,1.428,8
3224,抒解,6.1,0.49,4.9,1.02,0
3225,懂事,6.5,0.894,4.7,0.6,38
3226,誇耀,5.6,1.594,6.6,0.97,17
3227,平心靜氣,5.5,0.447,3.7,1.166,0
3228,恭敬,6.2,0.4,5.3,1.166,32
3229,寬厚,6.8,0.812,4.4,1.2,11
3230,不偏不倚,6.2,0.748,4.3,0.748,0
3231,消散,5.7,1.33,3.3,0.98,8
3232,洋洋,6.1,1.2,4.6,2.437,8
3233,互愛,7,0.894,6.2,0.98,0
3234,情不自禁,6.3,0.748,7,0.632,14
3235,纖細,5.8,0.927,3.5,0.632,12
3236,勤勉,6.6,0.735,4.4,0.49,10
3237,熱熱鬧鬧,6.6,0.86,6.6,0.374,10
3238,完滿,7.4,1.02,6,0.632,8
3239,暢快,7.1,1.2,7,1.14,12
3240,彬彬有禮,7.3,1.077,5.6,0.583,8
3241,聰穎,7.5,0.894,5.4,0.49,0
3242,工整,6.7,1.077,4.1,0.663,13
3243,開化,6.4,0.97,4.6,1.356,0
3244,先見之明,6.6,1.158,5,1.517,0
3245,興沖沖,6.5,1,6.7,0.748,14
3246,豐饒,6.9,0.663,4.7,1.166,9
3247,知恥,6.3,0.6,5.8,0.4,9
3248,奇跡,7.4,1.2,7.2,0.927,23
3249,希冀,6.3,0.748,6.3,1.249,0
3250,剛毅,6.5,0.632,6,1.265,0
3251,癡情,6.8,0.748,6.3,0.98,0
3252,紅潤,6.3,1.077,4.9,2.01,14
3253,望子成龍,6.7,1.249,6.1,1.625,11
3254,聖潔,7.1,0.8,5.6,1.241,9
3255,溫順,7.1,1.356,4.9,1.158,0
3256,愛撫,6.8,0.98,5.9,0.2,10
3257,勻稱,6.3,0.6,4.8,0.98,0
3258,有說有笑,6.8,1.435,6.5,0.894,10
3259,決斷力,6.6,0.8,5.1,1.744,0
3260,繁茂,6.8,0.98,4.8,2.135,0
3261,渴盼,6.3,1.166,7,0.707,0
3262,超凡,7.4,0.86,6.9,1.2,0
3263,豁然開朗,7,0.548,7.3,0.6,9
3264,熟慮,5.9,0.663,5.1,1.02,0
3265,有意義,6.7,0.748,5.3,0.6,0
3266,癡癡,6.1,0.8,5.5,1.414,0
3267,謙恭,6.7,0.748,4.7,1.249,0
3268,從容不迫,6.7,1.166,3.8,1.364,0
3269,苦修,5.2,0.51,5,1.673,0
3270,牢靠,6.2,0.4,5.1,1.281,0
3271,形影不離,6.4,1.068,6,0.632,0
3272,平心,5.8,0.678,3.4,1.02,0
3273,妙計,6.6,0.8,5.2,1.166,9
3274,俠義,7.2,0.51,6.3,0.678,0
3275,漂漂亮亮,7,0.894,6.8,0.748,12
3276,討人喜歡,7.4,1.068,5.9,1.685,0
3277,擔待,6.4,0.735,4.6,1.497,0
3278,豐腴,6.5,0.894,4.5,1,9
3279,深謀遠慮,7.3,0.6,6.2,1.364,0
3280,自得其樂,6.8,0.748,6.4,1.158,16
3281,留神,5.9,0.8,5.2,1.288,12
3282,雅致,6.2,0.927,4.9,0.917,10
3283,醉人,6.1,1.428,6,1.871,11
3284,飛黃騰達,7.9,0.583,7.9,0.2,0
3285,縫補,5.7,0.748,3.6,1.2,0
3286,遊街,4.2,0.678,3.8,1.6,0
3287,過時,4,0.316,4.3,1.691,37
3288,收買,3.8,1.03,4.7,1.887,9
3289,魔鬼,2,0.707,6.3,1.887,34
3290,何不,4.9,0.374,3.7,1.327,72
3291,夢魘,2.1,0.735,6.9,1.2,33
3292,燙傷,3,1.14,5.1,2.596,17
3293,弊病,2.8,0.748,5.4,2.177,18
3294,困難重重,2.1,0.735,6.9,0.49,10
3295,失明,2.1,1.428,5.5,2.864,18
3296,游擊,5.1,0.2,4.2,2.768,8
3297,慘痛,1.7,0.51,8.1,0.917,33
3298,慘敗,1.7,0.51,8.1,0.917,10
3299,追趕,5.1,0.8,4.3,1.72,56
3300,衝出,5.8,0.678,5.2,2.064,18
3301,潰瘍,3.3,0.927,5.9,2.354,14
3302,破碎,2.9,0.8,6.5,2.324,35
3303,謊言,2.8,0.98,4.2,1.86,56
3304,裂痕,3.2,0.812,5.2,1.965,11
3305,推擠,3.5,0.837,4.8,1.939,15
3306,未雨綢繆,6,1.414,5,0.707,25
3307,暴風,3.5,0.632,6.2,1.965,0
3308,瓜分,4.1,0.374,4.6,1.881,0
3309,煙霧,4.6,0.374,3,1.414,21
3310,騷亂,3,0.707,6,1.817,0
3311,擦傷,3.7,0.748,4.1,1.594,0
3312,殘廢,1.8,0.51,6.5,1.949,13
3313,輾轉,4.5,0.316,3,0.632,27
3314,退學,2.8,0.927,5.2,2.227,28
3315,藐視,3,0.632,6.2,1.806,0
3316,糾纏,3,0.632,5.4,2.131,55
3317,束縛,3.6,0.735,4.7,1.536,63
3318,偷工減料,3,0.707,6,1.517,14
3319,曖昧,5.7,0.98,5,1.789,25
3320,鬧事,2.9,0.86,5.6,1.772,0
3321,辯解,3.6,0.583,4.9,1.828,12
3322,梗塞,3.3,0.98,4.6,2.267,25
3323,償付,4.5,0.949,3.5,1.483,0
3324,凌虐,1.9,0.583,6.8,2.462,0
3325,渺茫,3,0.949,3.8,2.227,14
3326,遜色,3.7,0.51,4,1.378,27
3327,追訴,4,0.707,3.8,1.503,0
3328,委屈,3.4,0.49,4.6,1.744,62
3329,加害,2.3,0.4,5.9,1.855,13
3330,休克,2.4,0.97,5,2.608,11
3331,獨裁者,3,0.949,6,1.789,0
3332,文盲,3.5,0.894,4,1.844,17
3333,不許,3.5,0.894,5,2.098,21
3334,徵稅,4.4,0.86,3.1,1.744,0
3335,撕毀,3.3,0.748,5.4,1.828,0
3336,退步,3.4,0.583,4.1,1.625,28
3337,最低,3.5,1.378,4.3,1.6,0
3338,衝動,4,0.837,6.2,1.965,99
3339,人身攻擊,2.6,0.374,5.9,1.497,13
3340,後退,4,0.707,3.1,1.281,14
3341,抵消,4.8,0.51,3.3,1.47,8
3342,虛假,3,0.707,4.2,1.435,17
3343,竄改,3,0.548,4.2,1.86,0
3344,冒充,3.1,0.917,4.4,1.655,12
3345,挫傷,3.4,1.02,4,2.258,0
3346,撕裂,2.7,0.6,5.6,1.985,16
3347,毒害,1.9,0.374,5.8,1.631,19
3348,乞丐,2.8,1.03,4.7,1.939,34
3349,一廂情願,4.6,0.97,4.1,0.663,14
3350,作祟,3.9,0.663,3.7,1.536,31
3351,沈寂,3.8,0.927,2.3,0.872,15
3352,殺戮,1.6,0.583,7.5,1.183,0
3353,阻隔,4.2,0.678,3.5,1.732,39
3354,欺壓,2.7,0.748,5.3,2.088,9
3355,軍閥,3.7,0.872,4.2,2.135,20
3356,僵持不下,3.4,0.2,5.3,1.288,0
3357,搖擺,4.3,0.748,2.9,1.02,21
3358,傳染性,3.2,0.812,3.5,1.817,8
3359,失手,3.1,0.663,4.9,1.855,17
3360,罷了,3.8,0.927,4.8,1.6,151
3361,敲詐,3,0.707,5.1,1.908,0
3362,拉出,5,0.316,2.9,1.114,24
3363,斥責,2.6,0.374,6.3,1.03,22
3364,內鬥,2.7,0.678,5.4,1.985,0
3365,未知,4.6,0.2,2.2,1.166,54
3366,重擊,2.5,0.447,6,1.871,8
3367,簡陋,3.8,0.51,3.4,1.356,29
3368,槍聲,3.4,1.2,4.4,2.653,12
3369,罷課,2.8,0.872,6.1,1.281,0
3370,幼稚,3.4,0.735,3.9,1.562,33
3371,根絕,3.8,1.86,4.8,1.939,0
3372,未加,4.4,0.374,3,1.095,0
3373,畸形,2.8,0.812,4.7,1.887,18
3374,吵架,2.9,0.49,6,0.837,162
3375,割傷,3.5,0.837,4.9,2.154,0
3376,誤認,4.1,0.374,3.2,0.678,11
3377,發洩,3.8,1.691,6.5,0.632,55
3378,戰敗,2.4,0.86,6.5,2,23
3379,出乎,5.1,0.2,3.2,1.327,12
3380,搖晃,4.6,0.49,3.2,1.166,19
3381,失落,3,0.949,3.3,1.249,79
3382,逃走,3.2,0.812,5.4,1.068,43
3383,冀望,6.4,0.49,4.6,1.772,12
3384,自立自強,6.2,1.166,5.7,1.4,9
3385,敬愛,7.1,0.97,5.1,1.8,26
3386,事跡,5.1,0.2,2.3,1.077,19
3387,直率,6.5,0.837,4.6,1.655,11
3388,芳香,6.4,0.86,3,1.14,10
3389,健壯,6.9,0.663,4.4,1.02,11
3390,無價,6.2,1.122,4.8,2.379,15
3391,報答,6.4,0.735,4.9,1.428,29
3392,聽話,6,0.447,3.3,0.6,49
3393,牢固,6.1,0.374,3.6,0.86,0
3394,為傲,7,0,5.3,0.748,0
3395,學有專精,6.7,1.03,4.8,0.51,0
3396,正道,6.7,0.98,4.3,1.4,15
3397,興高采烈,8.3,0.4,7.8,0.4,30
3398,天籟,7.5,0.707,5.2,0.98,13
3399,稀奇,5.9,0.86,5,1.761,23
3400,判斷力,5.1,0.2,3.2,1.327,26
3401,養活,5.7,0.4,4.5,1.924,22
3402,友愛,6.8,0.4,4,0.894,21
3403,簡樸,6,0.447,3.1,1.241,0
3404,易懂,6,0.548,3.2,0.927,20
3405,標緻,6.3,0.6,3.3,1.6,0
3406,出人意表,6.4,0.583,5.5,1.183,9
3407,厚道,6,0.447,4.5,1.483,9
3408,不亦樂乎,7.1,0.663,6.9,0.583,17
3409,安和樂利,7.3,0.748,5.4,0.583,0
3410,一帆風順,7.4,0.8,5.4,0.86,14
3411,簡明,5.7,0.4,3,1.095,0
3412,顯赫,6.2,0.51,4.8,1.364,8
3413,茂盛,6.2,0.245,4.7,1.6,28
3414,最高,7.2,1.327,5.6,1.744,0
3415,嬉戲,5,0.548,4.9,2.417,41
3416,無敵,8.1,0.49,6.8,1.435,0
3417,變好,7,0.949,5,1.095,9
3418,才幹,5.9,0.583,3.6,1.158,0
3419,報喜,7.5,0.447,5.8,1.435,14
3420,心平氣和,5.7,0.678,3,1.643,32
3421,精巧,5.6,0.374,3.2,1.327,15
3422,潛心,5.4,0.49,2.8,1.166,13
3423,純潔,6.5,0.707,2.8,1.364,30
3424,留心,4.6,0.374,3.6,1.02,19
3425,自由自在,6.8,0.678,5.3,1.249,40
3426,心儀,6.8,0.51,4.7,1.568,18
3427,同情心,5.5,1.14,4.2,1.47,10
3428,平整,5.3,0.4,2.8,1.364,13
3429,母愛,6.7,0.748,3.6,1.02,0
3430,神童,7.2,0.927,4.4,2.154,15
3431,頌揚,7.6,0.374,5.7,1.4,0
3432,樂此不疲,7.1,1.625,7.1,0.583,19
3433,淳樸,6,0.894,2.7,1.166,9
3434,會心一笑,6.4,0.49,4.7,1.077,9
3435,學成歸國,7,0.837,5.9,1.655,0
3436,昌盛,7.1,1.114,5.6,0.8,0
3437,自信滿滿,7.9,0.8,6.9,0.663,0
3438,豐滿,6.8,0.245,4.8,1.691,20
3439,端莊,6,0.548,3.3,1.327,12
3440,心想事成,7.7,0.678,5.9,1.744,9
3441,文雅,6,0,3.2,1.208,11
3442,自告奮勇,6.6,0.374,6.9,1.2,18
3443,報恩,6.3,0.6,4.6,1.625,0
3444,無瑕,5.8,1.6,3.3,0.6,10
3445,老練,5.4,0.583,3.9,1.281,9
3446,興致勃勃,7.6,0.49,7.3,0.678,21
3447,高高興興,7.8,0.51,7.2,0.748,24
3448,堅韌,6.1,0.735,4.4,0.97,13
3449,臉紅,5.6,0.735,5.2,1.691,15
3450,煥發,5.9,0.49,4.4,0.583,15
3451,醉心,5.8,0.4,4.9,0.8,12
3452,叮囑,5.3,0.6,4.2,1.47,11
3453,慇勤,6.3,0.6,5.6,1.53,0
3454,達觀,5.5,0.632,3.7,0.748,0
3455,多產,5.6,0.583,3,1.095,0
