,Word,V_normalization,A_normalization
1909,好事,0.7,0.35
1910,注目,0.53,0.35
1911,免除,0.5,0.38
1912,穩固,0.6,0.35
1913,保密,0.53,0.33
1914,樂見,0.62,0.45
1915,道理,0.53,0.28
1916,改良,0.57,0.4
1917,新鮮,0.62,0.35
1918,透明,0.5,0.25
1919,古典,0.53,0.22
1920,趣味,0.6,0.4
1921,集資,0.53,0.38
1922,專屬,0.57,0.33
1923,敬佩,0.65,0.45
1924,友善,0.7,0.38
1925,人性,0.5,0.22
1926,合適,0.57,0.28
1927,天使,0.7,0.35
1928,一流,0.72,0.45
1929,助長,0.55,0.45
1930,嚴謹,0.53,0.4
1931,吸引力,0.55,0.33
1932,優於,0.55,0.43
1933,互助,0.6,0.33
1934,深切,0.5,0.38
1935,好奇,0.5,0.4
1936,衛冕,0.62,0.5
1937,守法,0.6,0.33
1938,充足,0.57,0.38
1939,嶄新,0.68,0.5
1940,不遺餘力,0.65,0.57
1941,特大,0.55,0.53
1942,才藝,0.6,0.3
1943,誠摯,0.68,0.4
1944,準確,0.6,0.33
1945,妥當,0.55,0.3
1946,加薪,0.65,0.45
1947,發覺,0.5,0.25
1948,熱忱,0.62,0.47
1949,補足,0.53,0.3
1950,節制,0.5,0.33
1951,暢談,0.6,0.55
1952,鼓掌,0.65,0.55
1953,在意,0.5,0.35
1954,精確,0.6,0.35
1955,矯正,0.47,0.38
1956,聲譽,0.55,0.4
1957,無比,0.55,0.28
1958,無異議,0.53,0.25
1959,去除,0.47,0.3
1960,實用,0.57,0.35
1961,誠懇,0.7,0.38
1962,協力,0.6,0.33
1963,發育,0.57,0.33
1964,捐獻,0.68,0.45
1965,熱誠,0.7,0.53
1966,良心,0.62,0.3
1967,由衷,0.5,0.35
1968,清晰,0.55,0.33
1969,奪冠,0.75,0.6
1970,合法性,0.53,0.35
1971,適任,0.57,0.3
1972,樂於,0.68,0.45
1973,邏輯,0.53,0.22
1974,有名,0.62,0.4
1975,可取,0.6,0.33
1976,調停,0.47,0.3
1977,讚許,0.7,0.55
1978,非凡,0.65,0.38
1979,奇異,0.53,0.43
1980,感人,0.65,0.55
1981,在乎,0.57,0.43
1982,遠見,0.65,0.35
1983,持久,0.57,0.38
1984,正規,0.6,0.28
1985,親近,0.65,0.35
1986,醫治,0.47,0.35
1987,人情,0.53,0.3
1988,穩定性,0.55,0.25
1989,難忘,0.53,0.4
1990,端正,0.57,0.33
1991,修理,0.47,0.35
1992,教養,0.57,0.33
1993,洋溢,0.65,0.45
1994,啟發,0.62,0.4
1995,討好,0.45,0.43
1996,廣闊,0.62,0.28
1997,禮貌,0.62,0.3
1998,負有,0.47,0.25
1999,明瞭,0.6,0.33
2000,如意,0.72,0.4
2001,吉祥,0.72,0.4
2002,自立,0.6,0.4
2003,晴朗,0.65,0.43
2004,調劑,0.5,0.22
2005,毅力,0.62,0.4
2006,精選,0.62,0.35
2007,親善,0.68,0.45
2008,勤奮,0.72,0.5
2009,微妙,0.55,0.28
2010,奮力,0.7,0.55
2011,奪魁,0.7,0.53
2012,決定性,0.55,0.45
2013,詳盡,0.57,0.3
2014,風度,0.62,0.33
2015,茁壯,0.68,0.47
2016,別緻,0.6,0.33
2017,特許,0.6,0.35
2018,安然,0.6,0.25
2019,知性,0.62,0.25
2020,求新,0.65,0.43
2021,安泰,0.65,0.33
2022,褒揚,0.65,0.53
2023,無誤,0.55,0.28
2024,遙遙領先,0.75,0.6
2025,多福,0.65,0.35
2026,歡慶,0.72,0.62
2027,稀少,0.5,0.33
2028,廉潔,0.6,0.28
2029,可貴,0.62,0.33
2030,熱中,0.68,0.55
2031,自助,0.57,0.35
2032,至上,0.62,0.33
2033,攻讀,0.6,0.43
2034,為榮,0.75,0.55
2035,恭喜,0.72,0.57
2036,吸引人,0.65,0.45
2037,正統,0.62,0.35
2038,消退,0.47,0.38
2039,清明,0.53,0.25
2040,才華,0.68,0.38
2041,根除,0.5,0.47
2042,關愛,0.65,0.38
2043,客氣,0.57,0.33
2044,狂歡,0.7,0.75
2045,同感,0.53,0.38
2046,永恆,0.62,0.35
2047,不懈,0.6,0.45
2048,調和,0.53,0.3
2049,謙虛,0.68,0.25
2050,奠基,0.62,0.3
2051,保釋,0.4,0.33
2052,學識,0.62,0.22
2053,積極性,0.65,0.55
2054,品味,0.57,0.38
2055,勝任,0.65,0.33
2056,逼真,0.57,0.43
2057,細膩,0.62,0.3
2058,盡情,0.6,0.47
2059,偏袒,0.33,0.47
2060,相容,0.55,0.28
2061,踏實,0.65,0.38
2062,流利,0.68,0.33
2063,固守,0.53,0.33
2064,致富,0.68,0.47
2065,有理,0.65,0.33
2066,進取,0.68,0.47
2067,智力,0.55,0.25
2068,解開,0.57,0.43
2069,升起,0.55,0.35
2070,安樂,0.57,0.3
2071,憧憬,0.6,0.3
2072,創造力,0.68,0.43
2073,忠貞,0.65,0.4
2074,天真,0.65,0.28
2075,不爭,0.43,0.3
2076,功德,0.68,0.33
2077,好感,0.62,0.38
2078,征服,0.53,0.57
2079,豁免,0.53,0.45
2080,貴族,0.55,0.22
2081,善於,0.62,0.38
2082,協作,0.62,0.35
2083,首肯,0.53,0.25
2084,吉利,0.72,0.35
2085,鬥志,0.72,0.6
2086,相等,0.53,0.25
2087,自白,0.5,0.28
2088,興盛,0.68,0.5
2089,完好,0.62,0.38
2090,名聲,0.57,0.28
2091,功績,0.65,0.35
2092,魔法,0.53,0.25
2093,出名,0.65,0.47
2094,可信,0.6,0.33
2095,光彩,0.7,0.4
2096,可喜,0.68,0.45
2097,堅固,0.62,0.25
2098,光芒,0.55,0.35
2099,遵從,0.55,0.4
2100,流暢,0.62,0.33
2101,熟練,0.6,0.3
2102,巧妙,0.6,0.33
2103,旗開得勝,0.78,0.6
2104,忍耐,0.45,0.43
2105,正確性,0.6,0.3
2106,好吃,0.68,0.43
2107,助手,0.53,0.25
2108,過癮,0.65,0.45
2109,精通,0.68,0.4
2110,白金,0.55,0.22
2111,贊成票,0.62,0.35
2112,激盪,0.57,0.62
2113,想像力,0.55,0.38
2114,愛上,0.68,0.47
2115,美感,0.65,0.35
2116,得力,0.6,0.35
2117,行善,0.72,0.4
2118,不凡,0.62,0.45
2119,不忍,0.43,0.4
2120,愉悅,0.7,0.45
2121,熱力,0.57,0.28
2122,萬能,0.68,0.4
2123,滿懷,0.57,0.35
2124,安康,0.68,0.3
2125,尊崇,0.7,0.4
2126,貴重,0.62,0.35
2127,指望,0.5,0.28
2128,富強,0.72,0.47
2129,好意,0.65,0.33
2130,健美,0.6,0.33
2131,說服力,0.53,0.33
2132,防備,0.45,0.35
2133,細緻,0.6,0.3
2134,高歌,0.62,0.5
2135,寫實,0.55,0.3
2136,正直,0.7,0.35
2137,獨一無二,0.68,0.45
2138,發財,0.72,0.6
2139,真愛,0.72,0.47
2140,分寸,0.47,0.3
2141,堅毅,0.68,0.43
2142,緊要,0.45,0.38
2143,學成,0.65,0.4
2144,出乎意料,0.53,0.62
2145,分工合作,0.65,0.45
2146,打趣,0.6,0.4
2147,感同身受,0.5,0.43
2148,義不容辭,0.65,0.65
2149,通俗,0.5,0.28
2150,防水,0.55,0.28
2151,可靠性,0.62,0.33
2152,平坦,0.53,0.17
2153,正大,0.62,0.3
2154,純真,0.65,0.25
2155,純淨,0.62,0.25
2156,懇求,0.45,0.55
2157,嗜好,0.53,0.25
2158,喜氣洋洋,0.8,0.5
2159,上等,0.68,0.33
2160,均等,0.53,0.2
2161,高尚,0.68,0.3
2162,獨有,0.6,0.33
2163,精細,0.62,0.33
2164,用功,0.65,0.5
2165,激賞,0.68,0.6
2166,奮勇,0.68,0.65
2167,生日快樂,0.7,0.5
2168,無庸置疑,0.55,0.35
2169,富麗,0.68,0.35
2170,賞識,0.65,0.4
2171,激昂,0.62,0.68
2172,精明,0.6,0.38
2173,要緊,0.47,0.53
2174,新奇,0.6,0.4
2175,高處,0.5,0.2
2176,抒發,0.47,0.35
2177,引以為傲,0.7,0.6
2178,謙卑,0.65,0.35
2179,適性,0.55,0.22
2180,崇敬,0.68,0.4
2181,正派,0.68,0.33
2182,規矩,0.53,0.25
2183,典雅,0.62,0.3
2184,連貫,0.5,0.25
2185,睿智,0.68,0.35
2186,談戀愛,0.65,0.55
2187,善行,0.68,0.35
2188,寬闊,0.62,0.33
2189,特級,0.68,0.43
2190,耐性,0.53,0.33
2191,英明,0.7,0.38
2192,漸入佳境,0.68,0.38
2193,富足,0.7,0.35
2194,孝行,0.7,0.3
2195,創造性,0.68,0.38
2196,與有榮焉,0.7,0.5
2197,雀躍,0.72,0.62
2198,心動,0.68,0.6
2199,上好,0.68,0.4
2200,機智,0.65,0.4
2201,自如,0.53,0.22
2202,沈著,0.57,0.25
2203,直覺,0.5,0.28
2204,人情味,0.68,0.38
2205,造詣,0.6,0.3
2206,耐用,0.57,0.3
2207,閃爍,0.57,0.3
2208,良善,0.7,0.33
2209,老實,0.65,0.33
2210,相稱,0.57,0.28
2211,均勻,0.55,0.25
2212,消遣,0.43,0.35
2213,群策群力,0.65,0.38
2214,涼爽,0.62,0.38
2215,奮發,0.7,0.55
2216,實用性,0.55,0.28
2217,內行,0.65,0.35
2218,奇妙,0.6,0.4
2219,義無反顧,0.5,0.55
2220,手藝,0.55,0.22
2221,盡興,0.65,0.47
2222,問題,0.43,0.3
2223,沒有,0.43,0.3
2224,要求,0.45,0.33
2225,無法,0.38,0.38
2226,不會,0.38,0.38
2227,不能,0.38,0.4
2228,短暫,0.45,0.33
2229,減少,0.43,0.3
2230,利用,0.47,0.33
2231,超過,0.5,0.45
2232,不要,0.38,0.4
2233,下跌,0.28,0.45
2234,避免,0.4,0.35
2235,大浪,0.5,0.4
2236,透露,0.5,0.3
2237,不斷,0.5,0.43
2238,限制,0.4,0.4
2239,尚未,0.43,0.25
2240,降低,0.47,0.33
2241,危機,0.28,0.57
2242,緊急,0.35,0.57
2243,困難,0.33,0.38
2244,犯罪,0.17,0.55
2245,污染,0.25,0.5
2246,地震,0.3,0.53
2247,可望,0.45,0.38
2248,違反,0.33,0.45
2249,取消,0.38,0.43
2250,逮捕,0.38,0.55
2251,不得,0.38,0.4
2252,停止,0.47,0.33
2253,有意,0.45,0.43
2254,意外,0.3,0.53
2255,下降,0.45,0.35
2256,非法,0.25,0.4
2257,排除,0.4,0.43
2258,感染,0.28,0.5
2259,警告,0.33,0.5
2260,絕對,0.5,0.57
2261,障礙,0.4,0.4
2262,危險,0.17,0.62
2263,指控,0.28,0.68
2264,發動,0.5,0.47
2265,疾病,0.3,0.38
2266,離開,0.45,0.38
2267,不可,0.38,0.4
2268,激烈,0.43,0.72
2269,走私,0.22,0.53
2270,失業,0.25,0.38
2271,機車,0.45,0.3
2272,事故,0.25,0.45
2273,災害,0.2,0.57
2274,反彈,0.35,0.55
2275,一再,0.43,0.38
2276,難以,0.38,0.43
2277,毒品,0.25,0.53
2278,患者,0.3,0.4
2279,爆炸,0.28,0.62
2280,歹徒,0.25,0.55
2281,起訴,0.25,0.55
2282,貶值,0.33,0.4
2283,絕不,0.3,0.6
2284,拆除,0.35,0.47
2285,風暴,0.28,0.55
2286,突然,0.45,0.53
2287,病人,0.38,0.3
2288,判決,0.45,0.4
2289,徵收,0.45,0.47
2290,刑事,0.4,0.45
2291,武力,0.35,0.53
2292,辯論,0.43,0.6
2293,退出,0.4,0.38
2294,被告,0.35,0.35
2295,糾紛,0.3,0.45
2296,台獨,0.57,0.72
2297,不佳,0.33,0.45
2298,對手,0.47,0.38
2299,不良,0.3,0.43
2300,自殺,0.12,0.62
2301,強制,0.4,0.65
2302,落後,0.3,0.4
2303,難民,0.28,0.38
2304,困擾,0.33,0.43
2305,不法,0.3,0.4
2306,不明,0.38,0.3
2307,命令,0.4,0.55
2308,監獄,0.3,0.4
2309,陷入,0.33,0.38
2310,自我,0.45,0.3
2311,作戰,0.38,0.55
2312,審判,0.38,0.47
2313,死者,0.28,0.43
2314,赤字,0.3,0.45
2315,遭遇,0.38,0.47
2316,武裝,0.4,0.38
2317,不如,0.4,0.3
2318,暫停,0.47,0.3
2319,道歉,0.33,0.43
2320,不易,0.38,0.33
2321,困境,0.33,0.33
2322,不景氣,0.3,0.35
2323,異議,0.38,0.35
2324,控告,0.3,0.5
2325,癌症,0.2,0.45
2326,複雜,0.4,0.38
2327,派系,0.43,0.35
2328,刪除,0.38,0.33
2329,危害,0.28,0.47
2330,阻止,0.4,0.47
2331,秘密,0.45,0.3
2332,保守,0.5,0.33
2333,罷工,0.38,0.55
2334,過度,0.38,0.55
2335,不實,0.3,0.38
2336,撤銷,0.33,0.5
2337,通貨膨脹,0.38,0.5
2338,屍體,0.25,0.35
2339,不管,0.43,0.35
2340,火災,0.28,0.6
2341,脫離,0.4,0.45
2342,迫使,0.33,0.47
2343,搜索,0.43,0.47
2344,游擊隊,0.47,0.43
2345,廢除,0.43,0.57
2346,現實,0.45,0.33
2347,追蹤,0.43,0.28
2348,輻射,0.28,0.47
2349,恐怕,0.35,0.5
2350,綁架,0.2,0.62
2351,黑道,0.3,0.53
2352,失事,0.2,0.55
2353,異常,0.3,0.4
2354,風波,0.4,0.4
2355,彈劾,0.3,0.55
2356,大雨,0.45,0.47
2357,罰款,0.35,0.38
2358,判刑,0.3,0.5
2359,東西,0.5,0.22
2360,殺害,0.12,0.78
2361,浪費,0.33,0.45
2362,意圖,0.4,0.35
2363,終止,0.4,0.45
2364,無關,0.45,0.33
2365,縮小,0.47,0.25
2366,爭執,0.3,0.62
2367,差異,0.43,0.3
2368,竟然,0.47,0.47
2369,中毒,0.22,0.62
2370,政變,0.25,0.62
2371,可疑,0.3,0.5
2372,分離,0.4,0.38
2373,代價,0.4,0.35
2374,去世,0.2,0.38
2375,削減,0.35,0.45
2376,子彈,0.43,0.38
2377,射擊,0.45,0.47
2378,故障,0.35,0.4
2379,處置,0.47,0.38
2380,封鎖,0.38,0.43
2381,洪水,0.33,0.47
2382,緩慢,0.47,0.25
2383,干擾,0.4,0.4
2384,承受,0.45,0.35
2385,非正式,0.45,0.4
2386,推翻,0.4,0.53
2387,對付,0.35,0.47
2388,轟炸,0.35,0.62
2389,對立,0.3,0.55
2390,縮減,0.38,0.4
2391,打壓,0.28,0.62
2392,過多,0.35,0.43
2393,萎縮,0.33,0.43
2394,災難,0.28,0.57
2395,依賴,0.5,0.3
2396,中止,0.43,0.38
2397,阻礙,0.35,0.45
2398,空襲,0.25,0.62
2399,感冒,0.3,0.35
2400,倒塌,0.28,0.55
2401,申訴,0.4,0.38
2402,不予,0.4,0.3
2403,辛苦,0.4,0.35
2404,加重,0.35,0.43
2405,蔓延,0.43,0.47
2406,否決,0.35,0.53
2407,消失,0.38,0.38
2408,弊端,0.22,0.55
2409,頻繁,0.5,0.45
2410,敦促,0.53,0.33
2411,高價,0.53,0.35
2412,破產,0.25,0.57
2413,擺脫,0.43,0.57
2414,延誤,0.33,0.53
2415,賭博,0.25,0.45
2416,不公,0.3,0.47
2417,違建,0.28,0.47
2418,陰影,0.38,0.43
2419,外來,0.43,0.38
2420,遏止,0.38,0.62
2421,暗示,0.47,0.33
2422,不應該,0.38,0.5
2423,致使,0.45,0.43
2424,流亡,0.33,0.6
2425,批發,0.55,0.35
2426,破裂,0.3,0.53
2427,襲擊,0.2,0.7
2428,搶劫,0.17,0.75
2429,打出,0.43,0.62
2430,醜聞,0.28,0.55
2431,暴動,0.2,0.72
2432,佔領,0.3,0.68
2433,神經,0.4,0.4
2434,拖延,0.4,0.5
2435,制止,0.43,0.6
2436,傳染,0.3,0.5
2437,故意,0.35,0.5
2438,殺人,0.1,0.78
2439,減弱,0.35,0.4
2440,噪音,0.33,0.5
2441,開除,0.28,0.6
2442,開槍,0.22,0.62
2443,撲滅,0.35,0.65
2444,傾銷,0.35,0.55
2445,高壓,0.4,0.5
2446,警報,0.33,0.5
2447,流氓,0.3,0.55
2448,激進,0.33,0.72
2449,燃燒,0.43,0.38
2450,宣判,0.43,0.45
2451,動亂,0.28,0.65
2452,毆打,0.2,0.72
2453,憤怒,0.2,0.7
2454,垃圾場,0.35,0.33
2455,不顧,0.35,0.43
2456,慘重,0.2,0.55
2457,任意,0.4,0.4
2458,干涉,0.33,0.47
2459,受害者,0.22,0.45
2460,超出,0.4,0.53
2461,佔用,0.33,0.5
2462,罰金,0.33,0.43
2463,可惜,0.33,0.43
2464,自稱,0.5,0.3
2465,禁令,0.33,0.47
2466,冷戰,0.33,0.43
2467,沈重,0.35,0.4
2468,延期,0.38,0.33
2469,腫瘤,0.25,0.47
2470,抹黑,0.28,0.55
2471,包圍,0.4,0.5
2472,傳染病,0.3,0.43
2473,沒想到,0.47,0.38
2474,不成,0.35,0.3
2475,觸犯,0.33,0.55
2476,勾結,0.3,0.57
2477,廢止,0.38,0.5
2478,發燒,0.3,0.53
2479,勒索,0.25,0.68
2480,欠缺,0.33,0.38
2481,模糊,0.4,0.33
2482,退回,0.38,0.47
2483,海洛因,0.2,0.53
2484,孤立,0.33,0.4
2485,侵入,0.3,0.62
2486,擅自,0.33,0.55
2487,流血,0.33,0.55
2488,危及,0.25,0.68
2489,失利,0.3,0.55
2490,暴亂,0.17,0.72
2491,傾倒,0.35,0.47
2492,迫切,0.35,0.53
2493,強暴,0.12,0.78
2494,壟斷,0.3,0.5
2495,辭呈,0.3,0.4
2496,老年,0.45,0.22
2497,駁回,0.35,0.45
2498,吸毒,0.22,0.65
2499,廢棄,0.3,0.5
2500,癱瘓,0.22,0.57
2501,扣押,0.28,0.57
2502,致死,0.15,0.65
2503,太過,0.38,0.53
2504,倒閉,0.22,0.57
2505,強盜,0.25,0.62
2506,相反,0.47,0.35
2507,撤回,0.4,0.5
2508,減低,0.43,0.28
2509,沒收,0.33,0.45
2510,控訴,0.28,0.55
2511,頭痛,0.33,0.5
2512,動盪,0.33,0.47
2513,屠殺,0.15,0.78
2514,差別,0.4,0.3
2515,嫌疑,0.33,0.45
2516,揭露,0.38,0.53
2517,對峙,0.43,0.53
2518,落選,0.28,0.53
2519,乾旱,0.28,0.45
2520,缺席,0.35,0.45
2521,擊中,0.45,0.57
2522,猖獗,0.25,0.68
2523,疑問,0.45,0.38
2524,陷於,0.38,0.38
2525,特權,0.43,0.45
2526,細菌,0.38,0.4
2527,瑕疵,0.33,0.35
2528,未必,0.45,0.38
2529,暴露,0.3,0.6
2530,氾濫,0.28,0.57
2531,不肖,0.25,0.6
2532,瓦解,0.33,0.55
2533,嚴肅,0.45,0.4
2534,逼近,0.38,0.4
2535,不清,0.38,0.38
2536,賄賂,0.22,0.57
2537,淪為,0.35,0.47
2538,分開,0.35,0.5
2539,延遲,0.33,0.4
2540,加深,0.45,0.5
2541,動武,0.3,0.62
2542,逃生,0.33,0.62
2543,受阻,0.3,0.6
2544,變革,0.33,0.62
2545,分割,0.35,0.55
2546,獨裁,0.25,0.6
2547,陰謀,0.28,0.55
2548,謠言,0.33,0.47
2549,逃亡,0.25,0.6
2550,格外,0.47,0.4
2551,崩潰,0.22,0.72
2552,掩埋,0.43,0.4
2553,行賄,0.22,0.68
2554,告發,0.35,0.55
2555,藉口,0.33,0.47
2556,扣留,0.3,0.55
2557,不彰,0.3,0.5
2558,戰場,0.3,0.57
2559,無可,0.43,0.33
2560,拖累,0.33,0.55
2561,誤導,0.33,0.53
2562,流浪,0.3,0.43
2563,延緩,0.45,0.25
2564,搶奪,0.25,0.7
2565,相差,0.43,0.25
2566,加劇,0.38,0.6
2567,避開,0.4,0.47
2568,哀悼,0.2,0.57
2569,漏洞,0.33,0.38
2570,暴雨,0.33,0.57
2571,過世,0.17,0.53
2572,擁擠,0.35,0.55
2573,肆虐,0.28,0.65
2574,搶走,0.3,0.6
2575,大聲,0.45,0.6
2576,監禁,0.28,0.45
2577,囚犯,0.25,0.45
2578,驅逐,0.28,0.62
2579,投機,0.33,0.5
2580,過剩,0.4,0.38
2581,削弱,0.38,0.45
2582,燒燬,0.28,0.6
2583,傷口,0.33,0.33
2584,暴行,0.25,0.68
2585,地雷,0.28,0.5
2586,肥胖,0.38,0.35
2587,血腥,0.22,0.57
2588,化石,0.5,0.15
2589,慢性,0.38,0.33
2590,誹謗,0.25,0.62
2591,埋伏,0.35,0.47
2592,下陷,0.33,0.43
2593,窘境,0.33,0.43
2594,挖掘,0.5,0.25
2595,規避,0.38,0.45
2596,闖入,0.28,0.65
2597,突發,0.38,0.65
2598,動搖,0.38,0.55
2599,遺失,0.35,0.4
2600,欠佳,0.33,0.38
2601,投降,0.33,0.5
2602,不以為然,0.45,0.38
2603,貿然,0.38,0.53
2604,退役,0.5,0.35
2605,濃煙,0.38,0.4
2606,進攻,0.4,0.65
2607,被害,0.17,0.68
2608,兇手,0.15,0.62
2609,捲入,0.38,0.5
2610,發作,0.4,0.6
2611,拘留,0.33,0.53
2612,蓄意,0.3,0.62
2613,戰役,0.4,0.45
2614,漠視,0.33,0.35
2615,共犯,0.25,0.55
2616,極度,0.4,0.65
2617,浮動,0.45,0.43
2618,安撫,0.5,0.28
2619,自認,0.5,0.22
2620,昏迷,0.25,0.5
2621,求助,0.33,0.6
2622,受難者,0.2,0.53
2623,停滯,0.35,0.35
2624,骨折,0.28,0.5
2625,殖民,0.38,0.38
2626,相撞,0.25,0.62
2627,嚴懲,0.22,0.7
2628,反覆,0.45,0.35
2629,警惕,0.43,0.47
2630,好戰,0.45,0.62
2631,恫嚇,0.25,0.7
2632,欺騙,0.28,0.62
2633,瘋狂,0.43,0.75
2634,撞擊,0.33,0.65
2635,次級,0.4,0.33
2636,遲緩,0.38,0.43
2637,投訴,0.35,0.5
2638,施以,0.47,0.35
2639,阻塞,0.4,0.5
2640,抵抗,0.3,0.65
2641,忍受,0.33,0.57
2642,撤退,0.35,0.53
2643,默默,0.47,0.25
2644,混淆,0.38,0.4
2645,毀滅性,0.28,0.68
2646,有罪,0.25,0.55
2647,滲透,0.4,0.33
2648,衝撞,0.33,0.6
2649,絲毫,0.47,0.2
2650,脂肪,0.5,0.15
2651,無形,0.5,0.2
2652,限定,0.5,0.5
2653,停頓,0.47,0.22
2654,炸藥,0.28,0.5
2655,停業,0.3,0.45
2656,制服,0.5,0.15
2657,轟動,0.47,0.7
2658,暴徒,0.17,0.65
2659,暗殺,0.1,0.62
2660,殘骸,0.25,0.33
2661,耗費,0.43,0.3
2662,負荷,0.38,0.4
2663,未定,0.43,0.33
2664,顛覆,0.53,0.55
2665,居然,0.45,0.45
2666,薄弱,0.33,0.38
2667,衰竭,0.3,0.38
2668,大屠殺,0.1,0.78
2669,免職,0.25,0.47
2670,潛逃,0.3,0.62
2671,誤差,0.38,0.33
2672,變相,0.47,0.4
2673,擔負,0.43,0.45
2674,牴觸,0.38,0.57
2675,暴跌,0.25,0.6
2676,隱藏,0.45,0.28
2677,佔據,0.38,0.55
2678,清算,0.35,0.57
2679,蒙受,0.33,0.45
2680,分化,0.38,0.4
2681,招致,0.38,0.53
2682,有毒,0.25,0.6
2683,犯人,0.2,0.53
2684,酒醉,0.3,0.55
2685,消耗,0.35,0.43
2686,過敏,0.38,0.35
2687,寒冷,0.45,0.25
2688,不下,0.43,0.2
2689,不休,0.4,0.35
2690,蕭條,0.33,0.33
2691,壓倒性,0.53,0.65
2692,追逐,0.47,0.55
2693,贓物,0.28,0.38
2694,勒贖,0.17,0.62
2695,包庇,0.3,0.45
2696,罷黜,0.33,0.6
2697,斷裂,0.33,0.53
2698,痛心,0.22,0.7
2699,口角,0.3,0.55
2700,過份,0.3,0.62
2701,觸及,0.45,0.35
2702,偏差,0.35,0.35
2703,追捕,0.38,0.6
2704,灼傷,0.28,0.53
2705,抓住,0.43,0.47
2706,切斷,0.4,0.5
2707,攻佔,0.45,0.57
2708,盲目,0.35,0.4
2709,流出,0.47,0.28
2710,婉拒,0.4,0.25
2711,動手,0.38,0.53
2712,斷絕,0.28,0.6
2713,落入,0.38,0.5
2714,感慨,0.38,0.3
2715,冗長,0.38,0.28
2716,打入,0.43,0.35
2717,情結,0.47,0.2
2718,嘔吐,0.3,0.62
2719,怎樣,0.4,0.43
2720,隱瞞,0.33,0.45
2721,毒氣,0.25,0.45
2722,求救,0.33,0.62
2723,屈服,0.35,0.45
2724,拜託,0.43,0.53
2725,捕捉,0.4,0.55
2726,過量,0.33,0.47
2727,傾斜,0.35,0.35
2728,未遂,0.3,0.38
2729,拖欠,0.33,0.43
2730,摩擦,0.38,0.45
2731,安慰,0.45,0.3
2732,歸咎於,0.33,0.35
2733,遏制,0.38,0.57
2734,質問,0.33,0.65
2735,受挫,0.3,0.62
2736,危急,0.25,0.68
2737,狹窄,0.4,0.3
2738,不得已,0.33,0.38
2739,殖民地,0.4,0.28
2740,暗中,0.4,0.28
2741,飢餓,0.3,0.5
2742,掩飾,0.43,0.28
2743,下手,0.3,0.47
2744,洩露,0.35,0.47
2745,煽動,0.3,0.68
2746,寧可,0.43,0.25
2747,生變,0.35,0.38
2748,智障,0.22,0.47
2749,老大,0.47,0.22
2750,共謀,0.35,0.53
2751,發炎,0.35,0.47
2752,較勁,0.43,0.65
2753,得不到,0.35,0.35
2754,擠滿,0.4,0.33
2755,不和,0.35,0.4
2756,瀰漫,0.45,0.25
2757,擾亂,0.35,0.55
2758,受難,0.25,0.6
2759,假冒,0.35,0.43
2760,不尋常,0.33,0.33
2761,行竊,0.25,0.57
2762,麻醉,0.4,0.28
2763,縱容,0.33,0.53
2764,專制,0.33,0.57
2765,違章,0.35,0.53
2766,訝異,0.35,0.5
2767,限度,0.43,0.33
2768,洩漏,0.33,0.43
2769,近視,0.4,0.2
2770,煞車,0.45,0.3
2771,孤兒,0.38,0.33
2772,炸毀,0.25,0.7
2773,激戰,0.38,0.75
2774,議論,0.43,0.5
2775,窮人,0.33,0.28
2776,出賣,0.25,0.47
2777,餘地,0.43,0.4
2778,屠宰,0.22,0.57
2779,不合時宜,0.35,0.33
2780,低潮,0.35,0.28
2781,毛病,0.35,0.35
2782,作秀,0.35,0.4
2783,踐踏,0.35,0.5
2784,寧願,0.47,0.22
2785,遇刺,0.22,0.6
2786,無家可歸,0.3,0.43
2787,失調,0.35,0.33
2788,猥褻,0.22,0.55
2789,野心,0.53,0.55
2790,背信,0.28,0.65
2791,侵蝕,0.3,0.43
2792,牽制,0.35,0.53
2793,囚禁,0.25,0.62
2794,殺人罪,0.1,0.72
2795,慘案,0.12,0.68
2796,清寒,0.35,0.35
2797,失效,0.38,0.38
2798,剷除,0.38,0.55
2799,匱乏,0.33,0.43
2800,黑暗,0.38,0.33
2801,突襲,0.35,0.53
2802,竊賊,0.26,0.53
2803,錯失,0.31,0.68
2804,緊迫,0.41,0.82
2805,陷阱,0.29,0.56
2806,悄悄,0.5,0.17
2807,牲畜,0.3,0.55
2808,通牒,0.33,0.61
2809,剔除,0.41,0.45
2810,犯規,0.31,0.57
2811,唾棄,0.22,0.5
2812,查禁,0.44,0.39
2813,不切實際,0.33,0.44
2814,垮台,0.21,0.66
2815,放射,0.5,0.34
2816,勸阻,0.54,0.55
2817,病菌,0.33,0.31
2818,塌陷,0.3,0.53
2819,沈默,0.46,0.15
2820,潛入,0.44,0.29
2821,定罪,0.39,0.46
2822,牽連,0.38,0.41
2823,施暴,0.2,0.75
2824,苦難,0.25,0.45
2825,裂縫,0.4,0.24
2826,勸告,0.49,0.4
2827,內情,0.49,0.31
2828,洩密,0.26,0.54
2829,劣勢,0.31,0.44
2830,剝削,0.22,0.65
2831,逼迫,0.25,0.75
2832,復發,0.33,0.46
2833,困在,0.33,0.45
2834,麻痺,0.39,0.25
2835,尖銳,0.41,0.26
2836,不理,0.4,0.26
2837,碰撞,0.41,0.43
2838,堵塞,0.38,0.39
2839,出軌,0.28,0.62
2840,乾燥,0.47,0.1
2841,權宜,0.54,0.22
2842,曲折,0.36,0.34
